cols,importance,model_name,model_target
store_송정해변로점,0.0,GradientBoostingClassifier,y_weekday
store_월계로점,0.0,GradientBoostingClassifier,y_weekday
store_월드컵대로2점,0.0,GradientBoostingClassifier,y_weekday
store_세종대로2점,0.0,GradientBoostingClassifier,y_weekday
store_월드컵로점,0.0,GradientBoostingClassifier,y_weekday
store_은평로2점,0.0,GradientBoostingClassifier,y_weekday
store_은평로점,0.0,GradientBoostingClassifier,y_weekday
store_일산동구점,0.0,GradientBoostingClassifier,y_weekday
store_월드컵대로점,0.0,GradientBoostingClassifier,y_weekday
store_온천천로점,0.0,GradientBoostingClassifier,y_weekday
store_시흥대로2점,0.0,GradientBoostingClassifier,y_weekday
store_양재2점,0.0,GradientBoostingClassifier,y_weekday
store_강남대로2점,0.0,GradientBoostingClassifier,y_weekday
store_신갈마로점,0.0,GradientBoostingClassifier,y_weekday
store_신일동로점,0.0,GradientBoostingClassifier,y_weekday
store_신일서로점,0.0,GradientBoostingClassifier,y_weekday
store_안양천로2점,0.0,GradientBoostingClassifier,y_weekday
store_안양천로점,0.0,GradientBoostingClassifier,y_weekday
store_세종로점,0.0,GradientBoostingClassifier,y_weekday
store_예술길점,0.0,GradientBoostingClassifier,y_weekday
store_양재점,0.0,GradientBoostingClassifier,y_weekday
store_어등대로점,0.0,GradientBoostingClassifier,y_weekday
store_연제로점,0.0,GradientBoostingClassifier,y_weekday
store_세종대로점,0.0,GradientBoostingClassifier,y_weekday
store_연희로점,0.0,GradientBoostingClassifier,y_weekday
store_영통구점,0.0,GradientBoostingClassifier,y_weekday
store_자양로2점,0.0,GradientBoostingClassifier,y_weekday
store_장승배기로2점,0.0,GradientBoostingClassifier,y_weekday
store_장대로점,0.0,GradientBoostingClassifier,y_weekday
store_학동로점,0.0,GradientBoostingClassifier,y_weekday
store_청계청로점,0.0,GradientBoostingClassifier,y_weekday
store_청사포로점,0.0,GradientBoostingClassifier,y_weekday
store_태종로점,0.0,GradientBoostingClassifier,y_weekday
store_필문대로점,0.0,GradientBoostingClassifier,y_weekday
store_하남산단점,0.0,GradientBoostingClassifier,y_weekday
store_하리해안길점,0.0,GradientBoostingClassifier,y_weekday
store_하신번영로점,0.0,GradientBoostingClassifier,y_weekday
store_학감대로점,0.0,GradientBoostingClassifier,y_weekday
store_한남로점,0.0,GradientBoostingClassifier,y_weekday
